"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1dzQoRqT5ucxXVaAhTcT0J","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis","spotify:album:1qwlxZTNLe1jq3b0iidlue","The Fame","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2008-01-01","https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2","1","1","241933","https://p.scdn.co/mp3-preview/95cc6f61db841d49e062c94e68a62a89da0c46c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USUM70807646","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:32Z"
"spotify:track:1sh6lL6cmlcwhqZKGiKBua","I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5ChF3i92IPZHduM7jN3dpg","Avicii, Nicky Romero","spotify:album:0sOrbRnJcNod63r49kmGVb","I Could Be The One [Avicii vs Nicky Romero]","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5ChF3i92IPZHduM7jN3dpg","Avicii, Nicky Romero","2012-12-26","https://i.scdn.co/image/ab67616d0000b273d1f3c40cd2e251e04ae6413f","1","1","208316","https://p.scdn.co/mp3-preview/f86b63a3fb643dc427eff698d7f2b6f74604992c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","SEUM71201601","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:32Z"
"spotify:track:4lhqb6JvbHId48OUJGwymk","Hey Brother","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:2H6i2CrWgXE1HookLu8Au0","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-01-01","https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7","1","3","255093","https://p.scdn.co/mp3-preview/b0f7ab0efb90d7df8535784a2187034e70d0ab24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","CH3131340084","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:33Z"
"spotify:track:76FZM38RC8XaAjJ77CVTNe","Into You","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:1QRP5lutJodPixU2EWfnD7","Dangerous Woman","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2016-04-01","https://i.scdn.co/image/ab67616d0000b27333342c57a9b2c4e04c97b3f5","1","4","244453","https://p.scdn.co/mp3-preview/12489dbf9e313aa5a42dcf6e1d145df9b04db8dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM71601827","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:33Z"
"spotify:track:39LLxExYz6ewLAcYrzQQyP","Levitating","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:7fJJK56U9fHixgO0HQkhtI","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f","1","5","203807","https://p.scdn.co/mp3-preview/ac28d1b0be285ed3bfd8e9fa5fad133776d7cf36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAHT1901299","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:33Z"
"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:0ix3XtPV1LwmZADsprKxcp","Don't Start Now","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2019-10-31","https://i.scdn.co/image/ab67616d0000b273c35ea649223a519a9ad51ccf","1","1","183290","https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBAHT1901121","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:34Z"
"spotify:track:78v8ad1iLTlfLbam4qvzNu","Waiting","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:2tUq6RAxkUzZPf2WWLXMa4","Vicetone, Daisy Guttridge","spotify:album:0W9qCb5BsEOZvxiRWM4l8D","Waiting","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:2tUq6RAxkUzZPf2WWLXMa4","Vicetone, Daisy Guttridge","2019-05-17","https://i.scdn.co/image/ab67616d0000b273b171c6d40462b4548a5e0134","1","1","205714","https://p.scdn.co/mp3-preview/ebc7c1af6eeb5ea0005ebde491f4d23db7136ef4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","CA6D21900139","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:34Z"
"spotify:track:4ibYl4U7Ix076zx81cO8YY","Do Or Die","spotify:artist:2xW3pBjCngD69hC1wIUgjA","Axel Johansson","spotify:album:4SToP2EAJjXcuyppR779uR","Do Or Die","spotify:artist:2xW3pBjCngD69hC1wIUgjA","Axel Johansson","2018-08-31","https://i.scdn.co/image/ab67616d0000b2739f8fb6cc563f5567c41b16b5","1","1","204715","https://p.scdn.co/mp3-preview/79bca83a3d357647785c528214c347bf1f115f19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","DK4YA1814101","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:35Z"
"spotify:track:3pqfx1XOcuFZDeKOwfOky7","Cloud 9","spotify:artist:1feoGrmmD8QmNqtK2Gdwy8, spotify:artist:6fEZjgt9MHR4Hp3MiBRZHX","Tobu, Itro","spotify:album:6Me8gE05HfGdKW0pck2siX","Cloud 9","spotify:artist:1feoGrmmD8QmNqtK2Gdwy8, spotify:artist:6fEZjgt9MHR4Hp3MiBRZHX","Tobu, Itro","2014-09-21","https://i.scdn.co/image/ab67616d0000b273c4118d04c3ace37a8f813185","1","1","277524","https://p.scdn.co/mp3-preview/0d663bd659a200a7fcdf25b4079a079a4b8f935a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBSMU1820937","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:35Z"
"spotify:track:6jg5SRvdGxvJ0DzNV0UqEK","Please Don't Go","spotify:artist:2KsP6tYLJlTBvSUxnwlVWa","Mike Posner","spotify:album:2nnIlWcriIqcJtjduWcTRl","31 Minutes to Takeoff","spotify:artist:2KsP6tYLJlTBvSUxnwlVWa","Mike Posner","2010-08-09","https://i.scdn.co/image/ab67616d0000b273d6165c0d6eba7e5bf3fca16d","1","2","196813","https://p.scdn.co/mp3-preview/d33396175c666bd21031d96270b4cd015b6f5713?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USJAY1000077","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:35Z"
"spotify:track:6H0zRPEV1ezBHOidNXSt1D","Fractures (feat. Nevve)","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:3RTklnRcfHgkQJwFpgOq3t","ILLENIUM, Nevve","spotify:album:0r4kwvT0acmAl59N6H4Pjk","Fractures (feat. Nevve)","spotify:artist:45eNHdiiabvmbp4erw26rg","ILLENIUM","2017-02-06","https://i.scdn.co/image/ab67616d0000b27329b1e19c8c1304446a3e1afa","1","1","245250","https://p.scdn.co/mp3-preview/3c58102a9f5f0e2ab10193fa1a5ca72e2398d69f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TCACX1718924","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:36Z"
"spotify:track:6hJEKNgikVrWuC3aQFs7Ak","Would You Stay","spotify:artist:5DwnPlijNCMYMFh40sQ4vX, spotify:artist:7j1lSJOJQBRw80bRit36Fs","Mindme, Le June","spotify:album:0L9ca6rhJulTXGgFFEJu3j","Would You Stay","spotify:artist:5DwnPlijNCMYMFh40sQ4vX","Mindme","2020-03-27","https://i.scdn.co/image/ab67616d0000b273eb1e0347f58c60429a3f215d","1","1","220524","https://p.scdn.co/mp3-preview/8f6268fe488243057a2db6e352a5afe3ce082e85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","SE5Q51904117","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:36Z"
"spotify:track:0yjl5u0l3JujGGdS5Cx57o","Starlight","spotify:artist:2DhM3L6HmeUppH5hF5Rnll","Ayon","spotify:album:45LHc94lsFGQSK38Ly36qC","Starlight","spotify:artist:2DhM3L6HmeUppH5hF5Rnll","Ayon","2019-04-07","https://i.scdn.co/image/ab67616d0000b2738615736cd584c9138b843d48","1","2","342909","https://p.scdn.co/mp3-preview/3303f23debd4f7f5a7f7503e9fe69b4b2130b3d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QM8DG1867485","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:37Z"
"spotify:track:3OTSBoYKO7HzGVj8Bu2OH9","All the Time","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","spotify:album:4x79GTZCS7XsmxK9qxxMmV","All the Time","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","2019-06-21","https://i.scdn.co/image/ab67616d0000b273e0fdd1a86b4214b453ed5703","1","1","228111","https://p.scdn.co/mp3-preview/a0e7983ba8cfbcd7c0acf12e53fc6c1dd13ac302?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM11903586","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:37Z"
"spotify:track:4sB0hXFEmjZJR09ilZWsQw","that won't save us","spotify:artist:6yhD1KjhLxIETFF7vIRf8B","Against The Current","spotify:album:2SQHB4OJWgOSwNme87s8aZ","that won't save us","spotify:artist:6yhD1KjhLxIETFF7vIRf8B","Against The Current","2020-10-28","https://i.scdn.co/image/ab67616d0000b27313c8d521514169e7db71a24c","1","1","200587","https://p.scdn.co/mp3-preview/6e636be1b3a9a2f155baa16d38617b215874752b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","USAT22006353","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:38Z"
"spotify:track:7kVDkZkZc8qBUBsF6klUoY","I Don't Wanna Go","spotify:artist:7vk5e3vY1uw9plTHJAMwjN, spotify:artist:2Tg0aF5cbZktYFzgR1iAKv","Alan Walker, Julie Bergan","spotify:album:3nzuGtN3nXARvvecier4K0","Different World","spotify:artist:7vk5e3vY1uw9plTHJAMwjN","Alan Walker","2018-12-14","https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a","1","3","161666","https://p.scdn.co/mp3-preview/17068c6b49a5dad5820605a087b73037d0db5ea8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","NOG841813030","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:38Z"
"spotify:track:22O2Zdfj3jnJZDSzlDMAJp","Heading Home","spotify:artist:7vk5e3vY1uw9plTHJAMwjN, spotify:artist:0x3PXj1WnuW7YsBxQK57xM","Alan Walker, Ruben","spotify:album:3vZaa7OReXh9JIwfq1nWcD","Heading Home","spotify:artist:7vk5e3vY1uw9plTHJAMwjN, spotify:artist:0x3PXj1WnuW7YsBxQK57xM","Alan Walker, Ruben","2020-04-01","https://i.scdn.co/image/ab67616d0000b2735eab23d2260268d2fab870d0","1","1","184889","https://p.scdn.co/mp3-preview/1fe3fcedf9706fe069740b74f77f9f49ff342826?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","NOG842002010","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:39Z"
"spotify:track:6YUTL4dYpB9xZO5qExPf05","Summer","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756","1","8","222533","https://p.scdn.co/mp3-preview/a6fc9fe137bd7d0b3377309f8235eddf449866e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBARL1400296","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:39Z"
"spotify:track:5yId5vztDqFdpYIMkDs4XV","Way Back","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:5wMfct6VVvaVQ8xGCXxIUa","Vicetone, Cozi Zuehlsdorff","spotify:album:1228EEKC3pUCGKsnhJs49Z","Way Back","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:5wMfct6VVvaVQ8xGCXxIUa","Vicetone, Cozi Zuehlsdorff","2018-03-09","https://i.scdn.co/image/ab67616d0000b273f849bcee6a688d9d8ed1a608","1","1","208888","https://p.scdn.co/mp3-preview/67c3aee95bd47144163cc647fa3db3fdd46423de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","CA6D21800042","spotify:user:s4qtgnvehi7qpn8onp0rlfro3","2021-06-24T14:20:39Z"
